kind,crit,sign,accepted,total,rate
S,0,-1,388,1245,0.3116465863453815
S,0,1,8123,8773,0.9259090390972301
S,1,-1,715,1677,0.4263565891472868
S,1,1,2339,3050,0.7668852459016393
S,2,-1,736,1704,0.431924882629108
S,2,1,1595,2374,0.6718618365627632
S,3,-1,251,987,0.25430597771023306
S,3,1,14221,14665,0.9697238322536652
S,4,-1,522,1376,0.3793604651162791
S,4,1,5779,6514,0.8871661037764814
w,0,-1,88,230,0.3826086956521739
w,0,1,152,280,0.5428571428571428
w,1,-1,86,213,0.40375586854460094
w,1,1,110,244,0.45081967213114754
w,2,-1,30,221,0.13574660633484162
w,2,1,1227,1382,0.8878437047756874
w,3,-1,68,201,0.3383084577114428
w,3,1,214,344,0.622093023255814
w,4,-1,63,248,0.2540322580645161
w,4,1,206,352,0.5852272727272727
